Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
1		04-02-2015	10-02-2015	1111
1		15-02-2015	25-02-2015	2222
1		20-03-2015	04-04-2015	1144
1		15-04-2015	05-05-2015	1998
1		24-05-2015	05-06-2015	4331
1		06-06-2015	10-06-2015	7898
1		12-06-2015	20-06-2015	2343
2		04-04-2015	05-05-2015	1234
2		07-05-2015	20-06-2015	5534
2		21-07-2015	29-07-2015	6678
2		02-08-2015	12-08-2015	4435
2		15-08-2015	29-08-2015	9898
2		02-09-2015	25-09-2015	8788
2		29-09-2015	10-10-2015	2345
2		14-10-2015	24-10-2015	3345
2		25-10-2015	05-11-2015	7121
2		07-11-2015	03-12-2015	4545
2		08-12-2015	20-12-2015	4898
2		22-12-2015	01-02-2016	6569
3		05-05-2015	20-06-2015	2223
3		22-05-2015	03-06-2015	3343
4		04-06-2015	10-06-2015	2213
5		08-07-2015	20-07-2015	2409
6		04-08-2015	09-08-2015	1255
7		07-07-2016	17-07-2016	1266
7		08-08-2016	15-08-2016	1277
7		06-03-2017	04-04-2017	1288
8		05-04-2016	05-05-2016	1299
8		05-05-2016	07-08-2016	2323
8		08-08-2016	15-08-2016	2111
8		09-09-2016	15-09-2016	2112
9		10-05-2015	15-05-2015	2113
9		17-05-2015	21-05-2015	2114
9		19-06-2015	28-06-2015	2115
9		21-07-2015	29-07-2015	2116
10		20-08-2015	25-08-2015	3111
10		20-09-2015	21-10-2015	3112
10		02-03-2016	10-03-2016	3113
10		15-03-2016	25-03-2016	3115
11		26-11-2015	05-12-2015	4111
11		02-01-2016	14-01-2016	4112
11		15-01-2016	02-02-2016	4113
11		05-02-2016	10-02-2016	4114
12		06-03-2016	10-03-2016	5111
12		12-03-2016	20-03-2016	5112
12		13-04-2016	20-04-2016	5113
12		04-05-2016	10-05-2016	5114
13		05-05-2016	10-05-2016	5115
13		14-05-2016	20-05-2016	5116
13		21-05-2016	25-05-2016	5117
13		04-06-2016	10-06-2016	5118
14		12-06-2016	20-06-2016	5119
14		21-07-2016	28-07-2016	5120
14		04-08-2016	10-08-2017	5121
14		12-08-2016	20-08-2016	5122
15		05-09-2016	10-09-2016	5123
15		12-09-2016	20-09-2016	5124
15		22-09-2016	30-09-2016	5125
15		02-10-2016	10-10-2016	5126
16		03-01-2017	03-02-2017	5127
16		04-02-2017	10-02-2017	5128
16		12-02-2017	20-02-2017	5129
16		03-03-2017	10-03-2017	5130
17		04-04-2017	05-05-2017	5131
17		10-06-2017	15-06-2017	5132
17		20-06-2017	25-06-2017	5133
17		04-07-2017	10-07-2017	5134
18		12-07-2017	20-07-2017	5135
18		04-08-2017	10-07-2017	5136
18		09-08-2017	15-08-2017	5137
18		09-09-2017	15-09-2017	5138
19		03-10-2017	10-10-2017	5139
19		03-11-2017	08-11-2017	5140
19		04-12-2017	10-12-2017	5141
19		12-12-2017	20-12-2017	5142
20		02-12-2017	08-12-2017	5143
20		10-12-2017	12-12-2017	5144
20		15-12-2017	20-12-2017	5145
20		24-12-2107	03-01-2018	5146
21		05-01-2018	10-01-2018	5147
21		12-01-2018	15-01-2018	5148
21		03-02-2018	10-02-2018	5149
21		04-03-2018	10-03-2018	5150
22		12-03-2018	04-04-2018	5151
22		10-05-2018	12-05-2018	5152
22		06-06-2018	08-07-2018	5153
22		09-07-2018	12-08-2018	5154
23		10-10-2018	15-10-2018	5155
23		02-11-2018	03-11-2018	5156
23		05-12-2018	10-12-2018	5157
23		15-12-2018	20-12-2018	5158
24		20-12-2018	28-12-2018	5159
24		30-12-2018	03-01-2019	5160
24		05-01-2019	10-01-2019	5161
24		15-01-2019	20-01-2019	5162
25		22-01-2019	28-01-2019	5163
25		02-02-2018	05-02-2019	5164
25		10-02-2019	15-02-2019	5165
25		03-03-2019	10-03-2019	5166
26		04-04-2019	10-04-2019	5167
26		05-05-2019	10-05-2019	5168
